codigo_de_producto,Categoria_padre,Categoria_hijo,Subcategoria_1,Subcategoria_2,Subcategoria_3,Tipo_de_producto,Nombre_de_producto,Venta_por_unidad_o_paquete,Tipo_de_unidad,Unidades_por_paquete,Marca,Material_composicion_y_porcentajes,Importado_o_hecho_en_mexico,Colores_presentes_en_producto,Blank,Tallas,Observaciones,Foto
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image40-1.jpeg
532, mujer, Ropa, Ropa Interior, Brasier, , , Brasier Confort, paquete, Piezas, , , , Importado, varios colores Negro-Rojo-Cafe-Rosa, , 38-44, Estilo con puntos,https://rintin.mx/wp-content/uploads/2025/01/image39-1.jpeg
, mujer, Ropa, Ropa Interior, Conjuntos, , , Conjunto De Ropa Interior, paquete, Piezas, , Calvin Klein, , Importado, varios colores Negro-Blanco-Azul-Rosa, , , Conjunto con variedad de colores,https://rintin.mx/wp-content/uploads/2025/01/image38.png
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image37.png
530, mujer, Ropa, Ropa Interior, Brasier, , Novedad, Brasier Colores Elegantes, paquete, Piezas, , , , Importado, varios colores Negro-Rojo-Morado-Verde-Gris-Beige, , 38-44, Sin observaciones,https://rintin.mx/wp-content/uploads/2025/01/image36-1.jpeg
1103, mujer, Ropa, Ropa Interior, Brasier, , Linea continua, Sujetadores Comodos, paquete, Piezas, , , , Importado, varios colores Rojo-Negro-Azul-Gris-Rosa, , 36-42, Incluye brazaletes en varios colores,https://rintin.mx/wp-content/uploads/2025/01/image35-1.jpeg
, mujer, Ropa, Ropa Interior, Bikini, , Novedad, Conjunto Ropa Interior, paquete, Piezas, , , , Importado, varios colores Negro-Carmesí-Piel-Rosa-Verde, , , Incluye diferentes tallas y colores,https://rintin.mx/wp-content/uploads/2025/01/image34.png
, mujer, Ropa, Ropa Interior, , , Novedad, Conjunto Intimo Colorido, paquete, Piezas, , , , , varios colores Negro-Blanco-Rosa-Azul-Rojo-Crema, , , Variado y colorido,https://rintin.mx/wp-content/uploads/2025/01/image33.png
, mujer, Ropa, Lenceria, Brasier, , Novedad, Brasier Conjunto Elegante, paquete, Piezas, , , , Importado, varios colores Negro-Rosa-Crema-Azul, , , Colores varios disponibles,https://rintin.mx/wp-content/uploads/2025/01/image32.png
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image31.png
, mujer, Ropa, Ropa Interior, Brasier, , Novedad, Set De Lenceria Femenina, paquete, Piezas, 6, , , Importado, varios colores Negro-Rojo-Azul-Rosa-Verde-Lila, , , Conjunto de brasier y panty.,https://rintin.mx/wp-content/uploads/2025/01/image30.png
, mujer, Ropa, Ropa Interior, , , Novedad, Conjunto Intimo Colorido, paquete, Piezas, 5, Love Secret, , Importado, varios colores Negro-Rosa-Rojo-Azul, , , Multiples colores vibrantes,https://rintin.mx/wp-content/uploads/2025/01/image29.png
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image28.png
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image27-1.jpeg
402, mujer, Ropa, Ropa Interior, Brasier, , Linea continua, Brasier Love Colores, paquete, Piezas, , , , Importado, varios colores Rosa-Verde-Gris-Azul-Rojo, , 38-44, Sin observaciones,https://rintin.mx/wp-content/uploads/2025/01/image26-1.jpeg
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image25-1.jpeg
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image24-1.jpeg
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image23-1.jpeg
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image22.png
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image21-1.jpeg
